string,lexicality,ope,Lpe,spe,letter_length,in_lexicon,ope_norm,Lpe_norm,spe_norm,oLpe_norm_sum,ospe_norm_sum,Lspe_norm_sum,oLspe_norm_sum,ope_norm_dec_LCM_0.04,ape_norm_dec_LCM_0.96,spe_norm_dec_LCM_0.99,oaspe_norm_sum_dec_LCM_1.99,ope_norm_entro,ape_norm_entro,spe_norm_entro,oaspe_norm_sum_entro,ope_norm_dec_p50,ape_norm_dec_p50,spe_norm_dec_p50,aspe_norm_dec_p50,ospe_norm_dec_p50,oape_norm_dec_p50,oaspe_norm_dec_p50
Abend,word,364.96494,4.80829848825989,3.9517529752331937,5,True,0.0456206175,0.961659697651978,0.9879382438082984,1.007280315151978,1.0335588613082984,1.9495979414602764,1.9952185589602764,0,0,1,0,0.8854882494567283,0.7406799474774696,0.6659956855726696,0.6629470308844361,1,0,0,0,1,1,1
Acker,word,333.43165,4.653586362174332,3.9533612093920873,5,True,0.041678956249999996,0.9307172724348665,0.9883403023480218,0.9723962286848664,1.030019258598022,1.9190575747828884,1.9607365310328884,0,1,1,1,1.0,0.9627577453938376,0.6659956855726696,0.9573063867700918,1,0,0,0,1,1,1
Adern,word,344.35285,4.718237375361852,3.9501447410743,5,True,0.04304410625,0.9436474750723705,0.987536185268575,0.9866915813223704,1.030580291518575,1.9311836603409454,1.9742277665909456,0,1,1,1,0.99949535091748,0.8702817117938156,0.6659956855726696,0.8489172030204534,1,0,0,0,1,1,1
Adler,word,360.4918,4.596654872949501,3.951431328401415,5,True,0.045061475000000004,0.9193309745899002,0.9878578321003537,0.9643924495899002,1.0329193071003537,1.9071888066902538,1.952250281690254,0,1,1,1,0.9431561117449961,0.9928215827417932,0.6659956855726696,0.997760624226874,1,1,0,0,1,1,1
Adria,word,356.75491,4.771952396268897,3.951431328401415,5,True,0.04459436375,0.9543904792537793,0.9878578321003537,0.9989848430037793,1.0324521958503536,1.942248311354133,1.9868426751041328,0,1,1,1,0.9431561117449961,0.8026050809249592,0.6659956855726696,0.7306075503702443,1,0,0,0,1,1,1
Affen,word,361.9614,4.596333226117723,3.9543261498874234,5,True,0.045245175000000006,0.9192666452235446,0.9885815374718558,0.9645118202235446,1.0338267124718559,1.9078481826954006,1.9530933576954004,0,1,1,1,0.9431561117449961,0.9928215827417932,0.5224151937060661,0.9954956867634821,1,1,0,0,1,1,1
Agent,word,354.67482,4.679639755548408,3.954647796719202,5,True,0.0443343525,0.9359279511096815,0.9886619491798005,0.9802623036096815,1.0329963016798005,1.9245899002894822,1.9689242527894821,0,1,1,1,0.9805796778352424,0.9260546084441965,0.5224151937060661,0.8932115995273782,1,0,0,0,1,1,1
Ahnen,word,331.30074,4.521067867481506,3.95271791572853,5,True,0.041412592500000005,0.9042135734963012,0.9881794789321325,0.9456261659963011,1.0295920714321325,1.8923930524284338,1.9338056449284338,0,1,1,1,0.9820629691813157,0.7708097289332796,0.6659956855726696,0.8969728083508806,1,1,0,1,1,1,1
Akkus,word,369.468,4.765197812801544,3.9530395625603085,5,True,0.0461835,0.9530395625603088,0.9882598906400771,0.9992230625603088,1.0344433906400772,1.941299453200386,1.987482953200386,0,1,1,0,0.8854882494567283,0.810008384209617,0.6659956855726696,0.7306075503702443,1,0,0,0,1,1,1
Aktie,word,359.17401,4.523962688967513,3.9517529752331937,5,True,0.04489675125,0.9047925377935027,0.9879382438082984,0.9496892890435027,1.0328349950582985,1.892730781601801,1.9376275328518011,0,1,1,1,0.9431561117449961,0.7930123749028525,0.6659956855726696,0.9438462338454515,1,1,0,1,1,1,1
Alarm,word,387.78803,4.783210035381151,3.948214860083628,5,True,0.04847350375,0.9566420070762301,0.987053715020907,1.0051155108262302,1.035527218770907,1.9436957220971371,1.992169225847137,0,0,1,0,0.6966134861020707,0.7800805828125476,0.8189135016045901,0.6875171848759345,1,0,0,0,1,1,1
Alben,word,357.18656,4.543583145706014,3.9478932132518496,5,True,0.04464832,0.9087166291412029,0.9869733033129624,0.9533649491412028,1.0316216233129625,1.8956899324541654,1.9403382524541652,0,1,1,1,0.9431561117449961,0.8730026347781327,0.8189135016045901,0.9627123324354258,1,1,0,1,1,1,1
Algen,word,373.42168,4.5294306851077515,3.948214860083628,5,True,0.04667771,0.9058861370215503,0.987053715020907,0.9525638470215503,1.033731425020907,1.8929398520424572,1.9396175620424574,0,1,1,1,0.8032143393135899,0.8147667777190467,0.8189135016045901,0.9627123324354258,1,1,0,1,1,1,1
Alibi,word,399.743,4.7954326149887425,3.947571566420071,5,True,0.049967875,0.9590865229977485,0.9868928916050177,1.0090543979977487,1.0368607666050178,1.9459794146027662,1.9959472896027664,0,0,1,0,0.4387822541976777,0.7646414037227567,0.8189135016045901,0.6543807960866327,1,0,0,0,1,1,1
Alpen,word,369.29013,4.554197491154712,3.9478932132518496,5,True,0.04616126625,0.9108394982309423,0.9869733033129624,0.9570007644809424,1.0331345695629623,1.8978128015439046,1.9439740677939046,0,1,1,1,0.8854882494567283,0.9088718360104469,0.8189135016045901,0.9879332320854358,1,1,0,0,1,1,1
Altar,word,358.57446,4.723062077838533,3.946928272756513,5,True,0.0448218075,0.9446124155677065,0.9867320681891283,0.9894342230677065,1.0315538756891283,1.9313444837568348,1.9761662912568347,0,1,1,1,0.9431561117449961,0.8634856918876979,0.8189135016045901,0.8306622473037537,1,0,0,0,1,1,1
Alter,word,350.49276,4.555162431650048,3.945963332261177,5,True,0.043811594999999995,0.9110324863300097,0.9864908330652943,0.9548440813300096,1.0303024280652944,1.897523319395304,1.941334914395304,0,1,1,1,0.9805796778352424,0.9088718360104469,0.9387687566415613,0.9700611107370675,1,1,0,0,1,1,1
Ämter,word,372.02734,4.639433901576069,3.9948536506915406,5,True,0.0465034175,0.9278867803152139,0.9987134126728852,0.9743901978152139,1.0452168301728852,1.926600192988099,1.9731036104880992,0,1,0,1,0.8032143393135899,0.9823423658203857,0.6553220524699095,0.857602431418161,1,0,0,0,1,1,1
Angel,word,380.68704,4.632357671276938,3.9478932132518496,5,True,0.047585880000000004,0.9264715342553875,0.9869733033129624,0.9740574142553875,1.0345591833129624,1.91344483756835,1.96103071756835,0,1,1,1,0.6966134861020707,0.99165253980062,0.8189135016045901,0.9573063867700918,1,0,0,0,1,1,1
Angst,word,351.85043,4.682534577034416,3.9478932132518496,5,True,0.04398130375,0.9365069154068832,0.9869733033129624,0.9804882191568832,1.0309546070629625,1.9234802187198456,1.9674615224698457,0,1,1,1,0.9805796778352424,0.9189830400827811,0.8189135016045901,0.9110208264302488,1,0,0,0,1,1,1
